"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","A","A","BMP2","BMPR1A_ACVR2A",0.00735912441154539,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"2","C","A","BMP2","BMPR1A_ACVR2A",0.00631332769008456,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"3","D","A","BMP2","BMPR1A_ACVR2A",0.00653641481673848,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"4","E","A","BMP2","BMPR1A_ACVR2A",0.00628096211005582,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"5","A","C","BMP2","BMPR1A_ACVR2A",0.00657552446903251,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"6","A","D","BMP2","BMPR1A_ACVR2A",0.00685822377815204,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"7","A","E","BMP2","BMPR1A_ACVR2A",0.00637936559350857,0.01,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"8","A","A","BMP2","BMPR1A_ACVR2B",0.00412865932509448,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"9","C","A","BMP2","BMPR1A_ACVR2B",0.00354030296496995,0.01,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"10","D","A","BMP2","BMPR1A_ACVR2B",0.0036657642431195,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"11","E","A","BMP2","BMPR1A_ACVR2B",0.0035221030419393,0.03,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"12","A","C","BMP2","BMPR1A_ACVR2B",0.00368472676650495,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"13","A","D","BMP2","BMPR1A_ACVR2B",0.00420806638327675,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"14","C","D","BMP2","BMPR1A_ACVR2B",0.00360843508852481,0.04,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"15","D","D","BMP2","BMPR1A_ACVR2B",0.003736301780059,0.01,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","A","E","BMP2","BMPR1A_ACVR2B",0.0039700038519287,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"17","A","A","BMP2","BMPR1B_ACVR2A",0.0038449747511554,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"18","C","A","BMP2","BMPR1B_ACVR2A",0.00329691114693721,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"19","D","A","BMP2","BMPR1B_ACVR2A",0.00341377665388192,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"20","E","A","BMP2","BMPR1B_ACVR2A",0.00327995832945246,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"21","A","C","BMP2","BMPR1B_ACVR2A",0.00315179631405777,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"22","A","D","BMP2","BMPR1B_ACVR2A",0.00317617036886577,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"23","A","A","BMP2","BMPR1B_ACVR2B",0.00215378328063861,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"24","C","A","BMP2","BMPR1B_ACVR2B",0.00184633570504331,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"25","D","A","BMP2","BMPR1B_ACVR2B",0.00191188134064287,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"26","E","A","BMP2","BMPR1B_ACVR2B",0.00183682804459851,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"27","A","C","BMP2","BMPR1B_ACVR2B",0.00176350021462744,0.03,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"28","A","D","BMP2","BMPR1B_ACVR2B",0.00194604543424248,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"29","A","E","BMP2","BMPR1B_ACVR2B",0.00188463345507098,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"30","A","A","BMP4","BMPR1A_ACVR2A",0.00145385463816815,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"31","C","A","BMP4","BMPR1A_ACVR2A",0.00140608688837444,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"32","D","A","BMP4","BMPR1A_ACVR2A",0.00138848119556258,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"33","E","A","BMP4","BMPR1A_ACVR2A",0.00138846098050732,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"34","A","C","BMP4","BMPR1A_ACVR2A",0.00129822575445088,0.03,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"35","A","D","BMP4","BMPR1A_ACVR2A",0.00135434925273455,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"36","C","D","BMP4","BMPR1A_ACVR2A",0.00130984655659212,0.04,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"37","A","A","BMP4","BMPR1A_ACVR2B",0.000813525588024188,0,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"38","C","A","BMP4","BMPR1A_ACVR2B",0.000786779869398552,0,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"39","D","A","BMP4","BMPR1A_ACVR2B",0.000776922521481052,0,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"40","E","A","BMP4","BMPR1A_ACVR2B",0.000776911203250869,0.01,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"41","A","D","BMP4","BMPR1A_ACVR2B",0.000829225325641551,0,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"42","C","D","BMP4","BMPR1A_ACVR2B",0.000801963871860721,0,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"43","D","D","BMP4","BMPR1A_ACVR2B",0.000791916438535295,0.01,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"44","E","D","BMP4","BMPR1A_ACVR2B",0.000791904902046398,0.03,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"45","A","E","BMP4","BMPR1A_ACVR2B",0.000782163498695668,0.01,"BMP4_BMPR1A_ACVR2B","BMP4 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"46","A","A","BMP4","BMPR1B_ACVR2A",0.000757454126487494,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"47","C","A","BMP4","BMPR1B_ACVR2A",0.000732550479058749,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"48","D","A","BMP4","BMPR1B_ACVR2A",0.000723372064347263,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"49","E","A","BMP4","BMPR1B_ACVR2A",0.000723361525676967,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
